Price,Close,High,Low,Open,Volume
Ticker,NIFTY_MIDCAP_100.NS,NIFTY_MIDCAP_100.NS,NIFTY_MIDCAP_100.NS,NIFTY_MIDCAP_100.NS,NIFTY_MIDCAP_100.NS
Date,,,,,
2022-05-24,27595.30078125,27896.400390625,27514.30078125,27849.099609375,0
2022-05-25,26918.69921875,27726.400390625,26862.150390625,27668.75,0
2022-05-26,27281.150390625,27392.69921875,26472.599609375,27019.150390625,0
2022-05-27,27657.25,27681.650390625,27429.94921875,27573.150390625,0
2022-05-30,28326.349609375,28348.30078125,27916.19921875,27927.599609375,0
2022-05-31,28288.349609375,28536.30078125,28232.55078125,28315.69921875,0
2022-06-01,28299.900390625,28535.19921875,28144.44921875,28345.849609375,0
2022-06-02,28491.150390625,28527.0,28195.75,28321.55078125,0
2022-06-03,28023.349609375,28729.150390625,27994.099609375,28700.849609375,0
2022-06-06,27992.650390625,28048.55078125,27634.80078125,27994.849609375,0
2022-06-07,27803.94921875,27937.25,27639.849609375,27889.94921875,0
2022-06-08,27670.80078125,27960.30078125,27570.30078125,27830.55078125,0
2022-06-09,27805.900390625,27846.94921875,27475.849609375,27546.94921875,0
2022-06-10,27575.80078125,27677.400390625,27485.19921875,27541.099609375,0
2022-06-13,26777.80078125,27130.80078125,26701.75,27115.05078125,0
2022-06-14,26715.650390625,27034.30078125,26604.69921875,26619.5,0
2022-06-15,26809.0,26950.75,26726.44921875,26861.650390625,0
2022-06-16,26180.349609375,27145.150390625,26065.69921875,27097.44921875,0
2022-06-17,25877.69921875,26221.650390625,25702.599609375,25989.849609375,0
2022-06-20,25292.900390625,25957.94921875,25048.150390625,25900.30078125,0
2022-06-21,26194.400390625,26231.150390625,25461.900390625,25477.75,0
2022-06-22,25767.849609375,26115.5,25706.5,26115.5,0
2022-06-23,26079.94921875,26157.0,25734.94921875,25835.69921875,0
2022-06-24,26449.05078125,26477.849609375,26257.849609375,26275.30078125,0
2022-06-27,26713.25,26861.55078125,26678.900390625,26774.400390625,0
2022-06-28,26791.0,26821.099609375,26464.25,26621.150390625,0
2022-06-29,26672.150390625,26716.44921875,26470.30078125,26515.0,0
2022-06-30,26452.75,26814.44921875,26406.69921875,26713.900390625,0
2022-07-01,26587.30078125,26639.80078125,26179.19921875,26356.599609375,0
2022-07-04,26769.55078125,26791.099609375,26502.5,26609.55078125,0
2022-07-05,26698.099609375,27011.349609375,26650.400390625,26871.099609375,0
2022-07-06,27204.349609375,27237.19921875,26640.349609375,26747.5,0
2022-07-07,27572.44921875,27594.650390625,27360.650390625,27389.650390625,0
2022-07-08,27649.05078125,27749.5,27459.44921875,27740.75,0
2022-07-11,27908.05078125,27949.80078125,27496.05078125,27557.099609375,0
2022-07-12,27782.05078125,28010.80078125,27730.650390625,27811.099609375,0
2022-07-13,27827.849609375,28032.099609375,27751.19921875,27925.900390625,0
2022-07-14,27803.5,27945.900390625,27553.55078125,27895.900390625,0
2022-07-15,28017.25,28051.150390625,27796.44921875,27903.55078125,0
2022-07-18,28409.75,28437.150390625,28201.900390625,28236.349609375,0
2022-07-19,28600.94921875,28635.94921875,28297.25,28336.150390625,0
2022-07-20,28654.400390625,28871.5,28596.30078125,28870.650390625,0
2022-07-21,29049.150390625,29087.75,28630.69921875,28682.0,0
2022-07-22,29047.849609375,29236.599609375,28953.19921875,29181.599609375,0
2022-07-25,29020.75,29091.599609375,28870.80078125,29048.349609375,0
2022-07-26,28658.75,29055.099609375,28626.94921875,29050.30078125,0
2022-07-27,28976.30078125,29003.900390625,28556.849609375,28633.650390625,0
2022-07-28,29219.75,29245.75,28979.900390625,29153.55078125,0
2022-07-29,29634.25,29676.099609375,29399.099609375,29426.75,0
2022-08-01,30128.0,30155.849609375,29641.0,29791.69921875,0
2022-08-02,30228.150390625,30288.25,29942.400390625,30110.55078125,0
2022-08-03,30017.650390625,30243.94921875,29758.900390625,30207.0,0
2022-08-04,30190.849609375,30287.80078125,29658.94921875,30158.75,0
2022-08-05,30258.349609375,30354.349609375,30167.5,30273.94921875,0
2022-08-08,30366.05078125,30481.150390625,30155.75,30282.900390625,0
2022-08-10,30318.900390625,30494.400390625,30190.30078125,30459.0,0
2022-08-11,30583.849609375,30641.30078125,30519.30078125,30547.75,0
2022-08-12,30806.349609375,30850.099609375,30560.75,30633.30078125,0
2022-08-16,31254.55078125,31272.099609375,30925.849609375,30963.900390625,0
2022-08-17,31401.400390625,31491.44921875,31339.900390625,31371.30078125,0
2022-08-18,31460.19921875,31550.25,31315.599609375,31394.94921875,0
2022-08-19,31005.0,31593.0,30911.80078125,31550.44921875,0
2022-08-22,30379.5,30906.650390625,30316.80078125,30906.650390625,0
2022-08-23,30734.650390625,30798.849609375,30098.5,30106.55078125,0
2022-08-24,30960.900390625,30986.349609375,30663.349609375,30704.69921875,0
2022-08-25,30942.900390625,31215.0,30895.900390625,31122.849609375,0
2022-08-26,31112.94921875,31293.400390625,31046.400390625,31126.75,0
2022-08-29,30853.849609375,30893.5,30246.900390625,30250.05078125,0
2022-08-30,31481.69921875,31519.400390625,31076.94921875,31084.05078125,0
2022-09-01,31516.30078125,31588.69921875,31222.400390625,31270.80078125,0
2022-09-02,31402.30078125,31747.5,31353.19921875,31671.75,0
2022-09-05,31522.30078125,31588.650390625,31455.849609375,31477.94921875,0
2022-09-06,31706.05078125,31734.599609375,31524.55078125,31664.650390625,0
2022-09-07,31865.55078125,31893.75,31564.55078125,31617.75,0
2022-09-08,31923.05078125,32158.44921875,31855.5,32092.0,0
2022-09-09,32035.900390625,32213.55078125,31927.150390625,32126.0,0
2022-09-12,32345.44921875,32382.30078125,32148.94921875,32181.80078125,0
2022-09-13,32398.75,32603.25,32360.30078125,32502.69921875,0
2022-09-14,32291.75,32386.69921875,31928.599609375,31973.099609375,0
2022-09-15,32415.69921875,32569.25,32208.349609375,32452.30078125,0
2022-09-16,31494.900390625,32443.599609375,31288.25,32399.400390625,0
2022-09-19,31504.400390625,31639.75,31184.55078125,31551.44921875,0
2022-09-20,31955.5,32172.75,31733.650390625,31743.55078125,0
2022-09-21,31718.69921875,32186.349609375,31647.900390625,31984.900390625,0
2022-09-22,31826.099609375,31897.650390625,31407.849609375,31613.69921875,0
2022-09-23,31078.69921875,31917.349609375,31030.150390625,31861.25,0
2022-09-26,30111.80078125,30814.0,29894.05078125,30797.650390625,0
2022-09-27,30160.69921875,30437.05078125,29898.849609375,30267.5,0
2022-09-28,30066.150390625,30332.150390625,29884.44921875,29965.650390625,0
2022-09-29,30185.650390625,30498.44921875,30027.69921875,30375.19921875,0
2022-09-30,30668.30078125,30731.400390625,29878.94921875,30178.55078125,0
2022-10-03,30284.650390625,30767.849609375,30167.80078125,30672.55078125,0
2022-10-04,31090.599609375,31119.5,30669.400390625,30753.30078125,0
2022-10-06,31482.69921875,31566.69921875,31326.349609375,31339.0,0
2022-10-07,31406.80078125,31534.44921875,31177.099609375,31505.25,0
2022-10-10,31109.349609375,31210.05078125,30909.80078125,31041.150390625,0
2022-10-11,30567.69921875,31210.80078125,30494.30078125,31204.44921875,0
2022-10-12,30756.55078125,30801.25,30346.30078125,30670.349609375,0
2022-10-13,30544.69921875,30824.69921875,30411.80078125,30769.599609375,0
